First Division,W,D,L,G Ave,Pts
The Wednesday,21,10,11,1.39,52
Leicester City,21,9,12,1.43,51
Aston Villa,23,4,15,1.21,50
Sunderland,20,7,15,1.24,47
Liverpool,17,12,13,1.41,46
Derby County,18,10,14,1.21,46
Blackburn Rovers,17,11,14,1.14,45
Manchester City,18,9,15,1.1,45
Arsenal,16,13,13,1.07,45
Newcastle United,19,6,17,0.97,44
Sheffield United,15,11,16,1.01,41
Manchester United,14,13,15,0.87,41
Leeds United,16,9,17,0.85,41
Bolton Wanderers,14,12,16,0.91,40
Birmingham,15,10,17,0.88,40
Huddersfield Town,14,11,17,1.15,39
West Ham United,15,9,18,0.9,39
Everton,17,4,21,0.84,38
Burnley,15,8,19,0.79,38
Portsmouth,15,6,21,0.7,36
Bury,12,7,23,0.63,31
Cardiff City,8,13,21,0.73,29
