Football League,W,D,L,G Ave,Pts
Preston North End,18,4,0,4.93,40
Aston Villa,12,5,5,1.42,29
Wolverhampton Wanderers,12,4,6,1.35,28
Blackburn Rovers,10,6,6,1.47,26
Bolton Wanderers,10,2,10,1.07,22
West Bromwich Albion,10,2,10,0.87,22
Accrington,6,8,8,1.0,20
Everton,9,2,11,0.76,20
Burnley,7,3,12,0.68,17
Derby County,7,2,13,0.67,16
Notts County,5,2,15,0.55,12
Stoke,4,4,14,0.51,12
