First Division,W,D,L,G Ave,Pts
Tottenham Hotspur,31,4,7,2.09,66
Sheffield Wednesday,23,12,7,1.66,58
Wolverhampton Wanderers,25,7,10,1.37,57
Burnley,22,7,13,1.32,51
Everton,22,6,14,1.26,50
Leicester City,18,9,15,1.24,45
Manchester United,18,9,15,1.16,45
Blackburn Rovers,15,13,14,1.01,43
Aston Villa,17,9,16,1.01,43
West Bromwich Albion,18,5,19,0.94,41
Arsenal,15,11,16,0.91,41
Chelsea,15,7,20,0.98,37
Manchester City,13,11,18,0.88,37
Nottingham Forest,14,9,19,0.79,37
Cardiff City,13,11,18,0.71,37
West Ham United,13,10,19,0.88,36
Fulham,14,8,20,0.76,36
Bolton Wanderers,12,11,19,0.79,35
Birmingham City,14,6,22,0.74,34
Blackpool,12,9,21,0.93,33
Newcastle United,11,10,21,0.79,32
Preston North End,10,10,22,0.61,30
