First Division,W,D,L,GD,Pts
Liverpool,26,12,2,63.0,90
Manchester United,23,12,5,33.0,81
Nottingham Forest,20,13,7,28.0,73
Everton,19,13,8,26.0,70
Queens Park Rangers,19,10,11,10.0,67
Arsenal,18,12,10,19.0,66
Wimbledon,14,15,11,11.0,57
Newcastle United,14,14,12,2.0,56
Luton Town,14,11,15,-1.0,53
Coventry City,13,14,13,-7.0,53
Sheffield Wednesday,15,8,17,-14.0,53
Southampton,12,14,14,-4.0,50
Tottenham Hotspur,12,11,17,-10.0,47
Norwich City,12,9,19,-12.0,45
Derby County,10,13,17,-10.0,43
West Ham United,9,15,16,-12.0,42
Charlton Athletic,9,15,16,-14.0,42
Chelsea,9,15,16,-18.0,42
Portsmouth,7,14,19,-30.0,35
Watford,7,11,22,-24.0,32
Oxford United,6,13,21,-36.0,31
