First Division,W,D,L,G Ave,Pts
Manchester City,22,13,7,1.75,57
Charlton Athletic,21,12,9,1.18,54
Arsenal,18,16,8,1.63,52
Derby County,21,7,14,1.07,49
Wolverhampton Wanderers,21,5,16,1.25,47
Brentford,18,10,14,1.05,46
Middlesbrough,19,8,15,1.04,46
Sunderland,19,6,17,1.02,44
Portsmouth,17,10,15,0.94,44
Stoke City,15,12,15,1.26,42
Birmingham,13,15,14,1.07,41
Grimsby Town,17,7,18,1.06,41
Chelsea,14,13,15,0.95,41
Preston North End,14,13,15,0.84,41
Huddersfield Town,12,15,15,0.97,39
West Bromwich Albion,16,6,20,0.79,38
Everton,14,9,19,1.04,37
Liverpool,12,11,19,0.74,35
Leeds United,15,4,23,0.75,34
Bolton Wanderers,10,14,18,0.65,34
Manchester United,10,12,20,0.71,32
Sheffield Wednesday,9,12,21,0.77,30
