First Division,W,D,L,G Ave,Pts
Blackburn Rovers,20,11,7,1.86,51
Aston Villa,19,6,13,1.3,44
Middlesbrough,19,5,14,1.28,43
Oldham Athletic,17,9,12,1.22,43
West Bromwich Albion,15,13,10,1.1,43
Bolton Wanderers,16,10,12,1.25,42
Sunderland,17,6,15,1.21,40
Chelsea,16,7,15,0.84,39
Bradford City,12,14,12,1.0,38
Sheffield United,16,5,17,1.05,37
Newcastle United,13,11,14,0.81,37
Burnley,12,12,14,1.15,36
Manchester City,14,8,16,0.96,36
Manchester United,15,6,17,0.84,36
Everton,12,11,15,0.84,35
Liverpool,14,7,17,0.74,35
Tottenham Hotspur,12,10,16,0.81,34
The Wednesday,13,8,17,0.76,34
Preston North End,12,6,20,0.75,30
Derby County,8,11,19,0.77,27
