First Division,W,D,L,GD,Pts
Liverpool,22,14,6,41.0,80
Southampton,22,11,9,28.0,77
Nottingham Forest,22,8,12,31.0,74
Manchester United,20,14,8,30.0,74
Queens Park Rangers,22,7,13,30.0,73
Arsenal,18,9,15,14.0,63
Everton,16,14,12,2.0,62
Tottenham Hotspur,17,10,15,-1.0,61
West Ham United,17,9,16,5.0,60
Aston Villa,17,9,16,-2.0,60
Watford,16,9,17,-9.0,57
Ipswich Town,15,8,19,-2.0,53
Sunderland,13,13,16,-11.0,52
Norwich City,12,15,15,-1.0,51
Leicester City,13,12,17,-3.0,51
Luton Town,14,9,19,-13.0,51
West Bromwich Albion,14,9,19,-14.0,51
Stoke City,13,11,18,-19.0,50
Coventry City,13,11,18,-20.0,50
Birmingham City,12,12,18,-11.0,48
Notts County,10,11,21,-22.0,41
Wolverhampton Wanderers,6,11,25,-53.0,29
