Premier League,W,D,L,GD,Pts
Manchester City,27,5,6,51.0,86
Manchester United,21,11,6,29.0,74
Liverpool,20,9,9,26.0,69
Chelsea,19,10,9,22.0,67
Leicester City,20,6,12,18.0,66
West Ham United,19,8,11,15.0,65
Tottenham Hotspur,18,8,12,23.0,62
Arsenal,18,7,13,16.0,61
Leeds United,18,5,15,8.0,59
Everton,17,8,13,-1.0,59
Aston Villa,16,7,15,9.0,55
Newcastle United,12,9,17,-16.0,45
Wolverhampton Wanderers,12,9,17,-16.0,45
Crystal Palace,12,8,18,-25.0,44
Southampton,12,7,19,-21.0,43
Brighton & Hove Albion,9,14,15,-6.0,41
Burnley,10,9,19,-22.0,39
Fulham,5,13,20,-26.0,28
West Bromwich Albion,5,11,22,-41.0,26
Sheffield United,7,2,29,-43.0,23
