First Division,W,D,L,GD,Pts
Liverpool,30,8,4,69.0,68
Nottingham Forest,21,18,3,35.0,60
West Bromwich Albion,24,11,7,37.0,59
Everton,17,17,8,12.0,51
Leeds United,18,14,10,18.0,50
Ipswich Town,20,9,13,14.0,49
Arsenal,17,14,11,13.0,48
Aston Villa,15,16,11,10.0,46
Manchester United,15,15,12,-3.0,45
Coventry City,14,16,12,-10.0,44
Tottenham Hotspur,13,15,14,-13.0,41
Middlesbrough,15,10,17,7.0,40
Bristol City,15,10,17,-4.0,40
Southampton,12,16,14,-6.0,40
Manchester City,13,13,16,2.0,39
Norwich City,7,23,12,-6.0,37
Bolton Wanderers,12,11,19,-21.0,35
Wolverhampton Wanderers,13,8,21,-24.0,34
Derby County,10,11,21,-27.0,31
Queens Park Rangers,6,13,23,-28.0,25
Birmingham City,6,10,26,-27.0,22
Chelsea,5,10,27,-48.0,20
