,Pld,W,D,A,GD
Chelsea,26,9,3,41.0,87
Manchester City,24,7,7,45.0,79
Arsenal,22,9,7,35.0,75
Manchester United,20,10,8,25.0,70
Tottenham Hotspur,19,7,12,5.0,64
Liverpool,18,8,12,4.0,62
Southampton,18,6,14,21.0,60
Swansea City,16,8,14,-3.0,56
Stoke City,15,9,14,3.0,54
Crystal Palace,13,9,16,-4.0,48
Everton,12,11,15,-2.0,47
West Ham United,12,11,15,-3.0,47
West Bromwich Albion,11,11,16,-13.0,44
Leicester City,11,8,19,-9.0,41
Newcastle United,10,9,19,-23.0,39
Sunderland,7,17,14,-22.0,38
Aston Villa,10,8,20,-26.0,38
Hull City,8,11,19,-18.0,35
Burnley,7,12,19,-25.0,33
Queens Park Rangers,8,6,24,-31.0,30
