First Division,W,D,L,G Ave,Pts
Liverpool,25,7,10,1.62,57
Manchester United,22,12,8,1.76,56
Wolverhampton Wanderers,25,6,11,1.75,56
Stoke City,24,7,11,1.7,55
Blackpool,22,6,14,1.01,50
Sheffield United,21,7,14,1.19,49
Preston North End,18,11,13,1.03,47
Aston Villa,18,9,15,1.26,45
Sunderland,18,8,16,0.98,44
Everton,17,9,16,0.93,43
Middlesbrough,17,8,17,1.07,42
Portsmouth,16,9,17,1.1,41
Arsenal,16,9,17,1.03,41
Derby County,18,5,19,0.92,41
Chelsea,16,7,19,0.82,39
Grimsby Town,13,12,17,0.74,38
Blackburn Rovers,14,8,20,0.85,36
Bolton Wanderers,13,8,21,0.83,34
Charlton Athletic,11,12,19,0.8,34
Huddersfield Town,13,7,22,0.67,33
Brentford,9,7,26,0.51,25
Leeds United,6,6,30,0.5,18
