First Division,W,D,L,GD,Pts
Arsenal,22,10,6,37.0,76
Liverpool,22,10,6,37.0,76
Nottingham Forest,17,13,8,21.0,64
Norwich City,17,11,10,3.0,62
Derby County,17,7,14,2.0,58
Tottenham Hotspur,15,12,11,14.0,57
Coventry City,14,13,11,5.0,55
Everton,14,12,12,5.0,54
Queens Park Rangers,14,11,13,6.0,53
Millwall,14,11,13,-5.0,53
Manchester United,13,12,13,10.0,51
Wimbledon,14,9,15,4.0,51
Southampton,10,15,13,-14.0,45
Charlton Athletic,10,12,16,-14.0,42
Sheffield Wednesday,10,12,16,-17.0,42
Luton Town,10,11,17,-10.0,41
Aston Villa,9,13,16,-11.0,40
Middlesbrough,9,12,17,-17.0,39
West Ham United,10,8,20,-25.0,38
Newcastle United,7,10,21,-31.0,31
