First Division,W,D,L,G Ave,Pts
Manchester United,24,12,6,1.87,60
Nottingham Forest,23,10,9,1.56,56
Tottenham Hotspur,24,8,10,1.48,56
Leeds United,22,11,9,1.48,55
Liverpool,19,13,10,1.36,51
Everton,19,10,13,1.41,48
Arsenal,16,14,12,1.23,46
Leicester City,18,8,16,1.1,44
Chelsea,15,14,13,1.08,44
Sheffield United,16,10,16,0.88,42
Sheffield Wednesday,14,13,15,1.19,41
Stoke City,17,7,18,1.09,41
West Bromwich Albion,16,7,19,1.05,39
Burnley,15,9,18,0.87,39
Manchester City,12,15,15,0.83,39
West Ham United,14,8,20,0.95,36
Sunderland,14,8,20,0.81,36
Fulham,11,12,19,0.86,34
Southampton,14,6,22,0.8,34
Newcastle United,12,9,21,0.48,33
Aston Villa,11,7,24,0.64,29
Blackpool,6,9,27,0.54,21
