First Division,W,D,L,G Ave,Pts
Arsenal,29,7,6,2.45,65
Leeds United,27,10,5,2.4,64
Tottenham Hotspur,19,14,9,1.64,52
Wolverhampton Wanderers,22,8,12,1.19,52
Liverpool,17,17,8,1.75,51
Chelsea,18,15,9,1.24,51
Southampton,17,12,13,1.27,46
Manchester United,16,11,15,0.98,43
Derby County,16,10,16,1.04,42
Coventry City,16,10,16,0.97,42
Manchester City,12,17,13,1.12,41
Newcastle United,14,13,15,0.96,41
Stoke City,12,13,17,0.92,37
Everton,12,13,17,0.9,37
Huddersfield Town,11,14,17,0.82,36
Nottingham Forest,14,8,20,0.69,36
West Bromwich Albion,10,15,17,0.77,35
Crystal Palace,12,11,19,0.68,35
Ipswich Town,12,10,20,0.88,34
West Ham United,10,14,18,0.78,34
Burnley,7,13,22,0.46,27
Blackpool,4,15,23,0.52,23
