First Division,W,D,L,GD,Pts
Liverpool,23,11,8,29.0,57
Manchester City,21,14,7,26.0,56
Ipswich Town,22,8,12,27.0,52
Aston Villa,22,7,13,26.0,51
Newcastle United,18,13,11,15.0,49
Manchester United,18,11,13,9.0,47
West Bromwich Albion,16,13,13,6.0,45
Arsenal,16,11,15,5.0,43
Everton,14,14,14,-2.0,42
Leeds United,15,12,15,-3.0,42
Leicester City,12,18,12,-13.0,42
Middlesbrough,14,13,15,-5.0,41
Birmingham City,13,12,17,2.0,38
Queens Park Rangers,13,12,17,-5.0,38
Derby County,9,19,14,-5.0,37
Norwich City,14,9,19,-17.0,37
West Ham United,11,14,17,-19.0,36
Bristol City,11,13,18,-10.0,35
Coventry City,10,15,17,-11.0,35
Sunderland,11,12,19,-8.0,34
Stoke City,10,14,18,-23.0,34
Tottenham Hotspur,12,9,21,-24.0,33
