Premier League,W,D,L,GD,Pts
Manchester City,32,2,4,72.0,98
Liverpool,30,7,1,67.0,97
Chelsea,21,9,8,24.0,72
Tottenham Hotspur,23,2,13,28.0,71
Arsenal,21,7,10,22.0,70
Manchester United,19,9,10,11.0,66
Wolverhampton Wanderers,16,9,13,1.0,57
Everton,15,9,14,8.0,54
Leicester City,15,7,16,3.0,52
West Ham United,15,7,16,-3.0,52
Watford,14,8,16,-7.0,50
Crystal Palace,14,7,17,-2.0,49
Newcastle United,12,9,17,-6.0,45
AFC Bournemouth,13,6,19,-14.0,45
Burnley,11,7,20,-23.0,40
Southampton,9,12,17,-20.0,39
Brighton & Hove Albion,9,9,20,-25.0,36
Cardiff City,10,4,24,-35.0,34
Fulham,7,5,26,-47.0,26
Huddersfield Town,3,7,28,-54.0,16
