First Division,W,D,L,GD,Pts
Liverpool,25,10,7,51.0,60
Manchester United,24,10,8,30.0,58
Ipswich Town,22,9,11,29.0,53
Arsenal,18,16,8,16.0,52
Nottingham Forest,20,8,14,20.0,48
Wolverhampton Wanderers,19,9,14,11.0,47
Aston Villa,16,14,12,1.0,46
Southampton,18,9,15,12.0,45
Middlesbrough,16,12,14,6.0,44
West Bromwich Albion,11,19,12,4.0,41
Leeds United,13,14,15,-4.0,40
Norwich City,13,14,15,-8.0,40
Crystal Palace,12,16,14,-9.0,40
Tottenham Hotspur,15,10,17,-10.0,40
Coventry City,16,7,19,-10.0,39
Brighton & Hove Albion,11,15,16,-10.0,37
Manchester City,12,13,17,-23.0,37
Stoke City,13,10,19,-14.0,36
Everton,9,17,16,-8.0,35
Bristol City,9,13,20,-29.0,31
Derby County,11,8,23,-20.0,30
Bolton Wanderers,5,15,22,-35.0,25
