Premier League,W,D,L,GD,Pts
Manchester United,25,7,6,38.0,82
Newcastle United,24,6,8,29.0,78
Liverpool,20,11,7,36.0,71
Aston Villa,18,9,11,17.0,63
Arsenal,17,12,9,17.0,63
Everton,17,10,11,20.0,61
Blackburn Rovers,18,7,13,14.0,61
Tottenham Hotspur,16,13,9,12.0,61
Nottingham Forest,15,13,10,-4.0,58
West Ham United,14,9,15,-9.0,51
Chelsea,12,14,12,2.0,50
Middlesbrough,11,10,17,-15.0,43
Leeds United,12,7,19,-17.0,43
Wimbledon,10,11,17,-15.0,41
Sheffield Wednesday,10,10,18,-13.0,40
Coventry City,8,14,16,-18.0,38
Southampton,9,11,18,-18.0,38
Manchester City,9,11,18,-25.0,38
Queens Park Rangers,9,6,23,-19.0,33
Bolton Wanderers,8,5,25,-32.0,29
