First Division,W,D,L,G Ave,Pts
Everton,19,8,11,1.62,46
Oldham Athletic,17,11,10,1.25,45
Blackburn Rovers,18,7,13,1.36,43
Burnley,18,7,13,1.3,43
Manchester City,15,13,10,1.26,43
Sheffield United,15,13,10,1.2,43
The Wednesday,15,13,10,1.13,43
Sunderland,18,5,15,1.13,41
Bradford,17,7,14,1.06,41
West Bromwich Albion,15,10,13,1.14,40
Bradford City,13,14,11,1.12,40
Middlesbrough,13,12,13,0.84,38
Liverpool,14,9,15,0.87,37
Aston Villa,13,11,14,0.86,37
Newcastle United,11,10,17,0.96,32
Notts County,9,13,16,0.72,31
Bolton Wanderers,11,8,19,0.81,30
Manchester United,9,12,17,0.74,30
Chelsea,8,13,17,0.78,29
Tottenham Hotspur,8,12,18,0.63,28
