Football League,W,D,L,G Ave,Pts
Sunderland,21,0,5,2.58,42
Preston North End,18,1,7,1.97,37
Bolton Wanderers,17,2,7,1.38,36
Aston Villa,15,0,11,1.59,30
Everton,12,4,10,1.0,28
Wolverhampton Wanderers,11,4,11,1.28,26
Burnley,11,4,11,1.09,26
Notts County,11,4,11,1.08,26
Blackburn Rovers,10,6,10,0.89,26
Derby County,10,4,12,0.88,24
Accrington,8,4,14,0.51,20
West Bromwich Albion,6,6,14,0.88,18
Stoke,5,4,17,0.62,14
Darwen,4,3,19,0.34,11
