First Division,W,D,L,G Ave,Pts
Aston Villa,19,6,5,2.0,44
Sunderland,17,4,9,1.64,38
Derby County,16,4,10,1.18,36
Blackburn Rovers,16,2,12,1.3,34
Burnley,15,4,11,1.2,34
Everton,15,3,12,1.58,33
Nottingham Forest,14,4,12,1.19,32
West Bromwich Albion,14,4,12,1.12,32
Wolverhampton Wanderers,14,3,13,0.84,31
Sheffield United,13,5,12,0.77,31
Stoke,13,3,14,0.81,29
The Wednesday,9,8,13,0.84,26
Bolton Wanderers,10,4,16,0.73,24
Preston North End,10,3,17,0.79,23
Darwen,7,5,18,0.45,19
Newton Heath,6,2,22,0.5,14
