First Division,W,D,L,GD,Pts
Liverpool,26,10,6,52.0,88
Everton,26,8,8,46.0,86
West Ham United,26,6,10,34.0,84
Manchester United,22,10,10,34.0,76
Sheffield Wednesday,21,10,11,9.0,73
Chelsea,20,11,11,1.0,71
Arsenal,20,9,13,2.0,69
Nottingham Forest,19,11,12,16.0,68
Luton Town,18,12,12,17.0,66
Tottenham Hotspur,19,8,15,22.0,65
Newcastle United,17,12,13,-5.0,63
Watford,16,11,15,7.0,59
Queens Park Rangers,15,7,20,-11.0,52
Southampton,12,10,20,-11.0,46
Manchester City,11,12,19,-14.0,45
Aston Villa,10,14,18,-16.0,44
Coventry City,11,10,21,-23.0,43
Oxford United,10,12,20,-18.0,42
Leicester City,10,12,20,-22.0,42
Ipswich Town,11,8,23,-23.0,41
Birmingham City,8,5,29,-43.0,29
West Bromwich Albion,4,12,26,-54.0,24
