First Division,W,D,L,G Ave,Pts
Manchester United,22,8,8,1.8,52
Aston Villa,22,7,9,1.68,51
Sunderland,15,15,8,1.4,45
Everton,19,7,12,1.39,45
Bradford City,20,5,13,1.21,45
The Wednesday,17,8,13,0.98,42
Oldham Athletic,16,9,13,1.07,41
Newcastle United,15,10,13,1.42,40
Sheffield United,15,8,15,1.14,38
Woolwich Arsenal,13,12,13,0.84,38
Notts County,14,10,14,0.82,38
Blackburn Rovers,13,11,14,1.15,37
Liverpool,15,7,16,1.0,37
Preston North End,12,11,15,0.82,35
Tottenham Hotspur,13,6,19,0.83,32
Middlesbrough,11,10,17,0.78,32
Manchester City,9,13,16,0.74,31
Bury,9,11,18,0.61,29
Bristol City,11,5,22,0.65,27
Nottingham Forest,9,7,22,0.73,25
