First Division,W,D,L,G Ave,Pts
Liverpool,26,9,7,2.32,61
Leeds United,23,9,10,2.08,55
Burnley,24,7,11,1.68,55
Manchester United,18,15,9,1.42,51
Chelsea,22,7,13,1.23,51
West Bromwich Albion,19,12,11,1.32,50
Leicester City,21,7,14,1.23,49
Tottenham Hotspur,16,12,14,1.14,44
Sheffield United,16,11,15,0.95,43
Stoke City,15,12,15,1.02,42
Everton,15,11,16,0.9,41
West Ham United,15,9,18,0.84,39
Blackpool,14,9,19,0.85,37
Arsenal,12,13,17,0.83,37
Newcastle United,14,9,19,0.79,37
Aston Villa,15,6,21,0.86,36
Sheffield Wednesday,14,8,20,0.85,36
Nottingham Forest,14,8,20,0.78,36
Sunderland,14,8,20,0.71,36
Fulham,14,7,21,0.79,35
Northampton Town,10,13,19,0.6,33
Blackburn Rovers,8,4,30,0.65,20
