First Division,W,D,L,G Ave,Pts
Everton,26,4,12,1.81,56
Arsenal,22,10,10,1.88,54
Sheffield Wednesday,22,6,14,1.17,50
Huddersfield Town,19,10,13,1.27,48
Aston Villa,19,8,15,1.44,46
West Bromwich Albion,20,6,16,1.4,46
Sheffield United,20,6,16,1.07,46
Portsmouth,19,7,16,1.0,45
Birmingham,18,8,16,1.16,44
Liverpool,19,6,17,0.87,44
Newcastle United,18,6,18,0.92,42
Chelsea,16,8,18,0.95,40
Sunderland,15,10,17,0.92,40
Manchester City,13,12,17,1.14,38
Derby County,14,10,18,0.95,38
Blackburn Rovers,16,6,20,0.94,38
Bolton Wanderers,17,4,21,0.9,38
Middlesbrough,15,8,19,0.72,38
Leicester City,15,7,20,0.79,37
Blackpool,12,9,21,0.64,33
Grimsby Town,13,6,23,0.68,32
West Ham United,12,7,23,0.58,31
