First Division,W,D,L,G Ave,Pts
Blackburn Rovers,20,9,9,1.4,49
Everton,20,6,12,1.1,46
Newcastle United,18,8,12,1.28,44
Bolton Wanderers,20,3,15,1.26,43
The Wednesday,16,9,13,1.41,41
Aston Villa,17,7,14,1.21,41
Middlesbrough,16,8,14,1.24,40
Sunderland,14,11,13,1.14,39
West Bromwich Albion,15,9,14,0.91,39
Woolwich Arsenal,15,8,15,0.93,38
Bradford City,15,8,15,0.92,38
Tottenham Hotspur,14,9,15,1.0,37
Manchester United,13,11,14,0.75,37
Sheffield United,13,10,15,1.13,36
Manchester City,13,9,16,0.97,35
Notts County,14,7,17,0.73,35
Liverpool,12,10,16,0.89,34
Oldham Athletic,12,10,16,0.85,34
Preston North End,13,7,18,0.7,33
Bury,6,9,23,0.54,21
