First Division,W,D,L,G Ave,Pts
Manchester United,26,9,7,2.28,61
Leeds United,26,9,7,1.6,61
Chelsea,24,8,10,1.65,56
Everton,17,15,10,1.15,49
Nottingham Forest,17,13,12,1.06,47
Tottenham Hotspur,19,7,16,1.23,45
Liverpool,17,10,15,0.92,44
Sheffield Wednesday,16,11,15,1.04,43
West Ham United,19,4,19,1.15,42
Blackburn Rovers,16,10,16,1.05,42
Stoke City,16,10,16,1.02,42
Burnley,16,10,16,1.0,42
Arsenal,17,7,18,0.92,41
West Bromwich Albion,13,13,16,1.08,39
Sunderland,14,9,19,0.86,37
Aston Villa,16,5,21,0.7,37
Blackpool,12,11,19,0.86,35
Leicester City,11,13,18,0.81,35
Sheffield United,12,11,19,0.78,35
Fulham,11,12,19,0.77,34
Wolverhampton Wanderers,13,4,25,0.66,30
Birmingham City,8,11,23,0.67,27
