First Division,W,D,L,G Ave,Pts
Tottenham Hotspur,25,10,7,1.86,60
Manchester United,24,8,10,1.85,56
Blackpool,20,10,12,1.49,50
Newcastle United,18,13,11,1.17,49
Arsenal,19,9,14,1.3,47
Middlesbrough,18,11,13,1.17,47
Portsmouth,16,15,11,1.04,47
Bolton Wanderers,19,7,16,1.05,45
Liverpool,16,11,15,0.9,43
Burnley,14,14,14,1.12,42
Derby County,16,8,18,1.08,40
Sunderland,12,16,14,0.86,40
Stoke City,13,14,15,0.85,40
Wolverhampton Wanderers,15,8,19,1.21,38
Aston Villa,12,13,17,0.97,37
West Bromwich Albion,13,11,18,0.87,37
Charlton Athletic,14,9,19,0.79,37
Fulham,13,11,18,0.76,37
Huddersfield Town,15,6,21,0.7,36
Chelsea,12,8,22,0.82,32
Sheffield Wednesday,12,8,22,0.77,32
Everton,12,8,22,0.56,32
