First Division,W,D,L,G Ave,Pts
The Wednesday,19,4,11,1.5,42
Aston Villa,19,3,12,1.53,41
Sunderland,16,9,9,1.42,41
Sheffield United,17,5,12,1.32,39
Liverpool,17,4,13,1.39,38
Stoke,15,7,12,1.21,37
West Bromwich Albion,16,4,14,1.02,36
Bury,16,3,15,1.26,35
Derby County,16,3,15,1.06,35
Nottingham Forest,14,7,13,1.04,35
Wolverhampton Wanderers,14,5,15,0.84,33
Everton,13,6,15,0.96,32
Middlesbrough,14,4,16,0.82,32
Newcastle United,14,4,16,0.8,32
Notts County,12,7,15,0.84,31
Blackburn Rovers,12,5,17,0.7,29
Grimsby Town,8,9,17,0.69,25
Bolton Wanderers,8,3,23,0.51,19
