First Division,W,D,L,GD,Pts
Liverpool,23,10,5,41.0,79
Aston Villa,21,7,10,19.0,70
Tottenham Hotspur,19,6,13,12.0,63
Arsenal,18,8,12,16.0,62
Chelsea,16,12,10,8.0,60
Everton,17,8,13,11.0,59
Southampton,15,10,13,8.0,55
Wimbledon,13,16,9,7.0,55
Nottingham Forest,15,9,14,8.0,54
Norwich City,13,14,11,2.0,53
Queens Park Rangers,13,11,14,1.0,50
Coventry City,14,7,17,-20.0,49
Manchester United,13,9,16,-1.0,48
Manchester City,12,12,14,-9.0,48
Crystal Palace,13,9,16,-24.0,48
Derby County,13,7,18,3.0,46
Luton Town,10,13,15,-14.0,43
Sheffield Wednesday,11,10,17,-16.0,43
Charlton Athletic,7,9,22,-26.0,30
Millwall,5,11,22,-26.0,26
