First Division,W,D,L,G Ave,Pts
Everton,29,8,5,2.12,66
Leeds United,21,15,6,1.71,57
Chelsea,21,13,8,1.4,55
Derby County,22,9,11,1.73,53
Liverpool,20,11,11,1.55,51
Coventry City,19,11,12,1.21,49
Newcastle United,17,13,12,1.63,47
Manchester United,14,17,11,1.08,45
Stoke City,15,15,12,1.08,45
Manchester City,16,11,15,1.15,43
Tottenham Hotspur,17,9,16,0.98,43
Arsenal,12,18,12,1.04,42
Wolverhampton Wanderers,12,16,14,0.96,40
Burnley,12,15,15,0.92,39
Nottingham Forest,10,18,14,0.7,38
West Bromwich Albion,14,9,19,0.88,37
West Ham United,12,12,18,0.85,36
Ipswich Town,10,11,21,0.63,31
Southampton,6,17,19,0.69,29
Crystal Palace,6,15,21,0.5,27
Sunderland,6,14,22,0.44,26
Sheffield Wednesday,8,9,25,0.56,25
