Premier League,W,D,L,GD,Pts
Manchester United,28,5,5,56.0,89
Chelsea,24,11,3,40.0,83
Liverpool,20,8,10,30.0,68
Arsenal,19,11,8,28.0,68
Tottenham Hotspur,17,9,12,3.0,60
Everton,15,13,10,16.0,58
Bolton Wanderers,16,8,14,-5.0,56
Reading,16,7,15,5.0,55
Portsmouth,14,12,12,3.0,54
Blackburn Rovers,15,7,16,-2.0,52
Aston Villa,11,17,10,2.0,50
Middlesbrough,12,10,16,-5.0,46
Newcastle United,11,10,17,-9.0,43
Manchester City,11,9,18,-15.0,42
West Ham United,12,5,21,-24.0,41
Fulham,8,15,15,-22.0,39
Wigan Athletic,10,8,20,-22.0,38
Sheffield United,10,8,20,-23.0,38
Charlton Athletic,8,10,20,-26.0,34
Watford,5,13,20,-30.0,28
