First Division,W,D,L,G Ave,Pts
Liverpool,23,5,10,1.72,51
Preston North End,17,13,8,1.38,47
The Wednesday,18,8,12,1.21,44
Newcastle United,18,7,13,1.54,43
Manchester City,19,5,14,1.35,43
Bolton Wanderers,17,7,14,1.21,41
Birmingham,17,7,14,1.1,41
Aston Villa,17,6,15,1.29,40
Blackburn Rovers,16,8,14,1.04,40
Stoke,16,7,15,0.98,39
Everton,15,7,16,1.06,37
Woolwich Arsenal,15,7,16,0.97,37
Sheffield United,15,6,17,0.92,36
Sunderland,15,5,18,0.87,35
Derby County,14,7,17,0.67,35
Notts County,11,12,15,0.77,34
Bury,11,10,17,0.77,32
Middlesbrough,10,11,17,0.79,31
Nottingham Forest,13,5,20,0.73,31
Wolverhampton Wanderers,8,7,23,0.59,23
