First Division,W,D,L,G Ave,Pts
Aston Villa,19,7,8,1.9,45
Liverpool,19,5,10,1.48,43
Burnley,15,9,10,0.96,39
Everton,15,8,11,1.17,38
Notts County,12,13,9,0.92,37
Blackburn Rovers,14,8,12,1.15,36
Sunderland,15,6,13,1.0,36
Wolverhampton Wanderers,14,7,13,1.13,35
Derby County,12,11,11,1.09,35
Bury,14,7,13,0.98,35
Nottingham Forest,11,11,12,1.0,33
Stoke,13,7,14,0.9,33
Newcastle United,11,8,15,1.02,30
West Bromwich Albion,12,6,16,0.74,30
Preston North End,10,9,15,0.94,29
Sheffield United,9,11,14,0.88,29
Bolton Wanderers,9,7,18,0.73,25
The Wednesday,8,8,18,0.52,24
