First Division,W,D,L,G Ave,Pts
Manchester City,26,6,10,2.0,58
Manchester United,24,8,10,1.62,56
Liverpool,22,11,9,1.78,55
Leeds United,22,9,11,1.73,53
Everton,23,6,13,1.68,52
Chelsea,18,12,12,0.91,48
Tottenham Hotspur,19,9,14,1.19,47
West Bromwich Albion,17,12,13,1.21,46
Arsenal,17,10,15,1.07,44
Newcastle United,13,15,14,0.81,41
Nottingham Forest,14,11,17,0.81,39
West Ham United,14,10,18,1.06,38
Leicester City,13,12,17,0.93,38
Burnley,14,10,18,0.9,38
Sunderland,13,11,18,0.84,37
Southampton,13,11,18,0.8,37
Wolverhampton Wanderers,14,8,20,0.88,36
Stoke City,14,7,21,0.68,35
Sheffield Wednesday,11,12,19,0.81,34
Coventry City,9,15,18,0.72,33
Sheffield United,11,10,21,0.7,32
Fulham,10,7,25,0.57,27
