First Division,W,D,L,G Ave,Pts
Aston Villa,21,5,4,1.92,47
Sheffield United,13,10,7,1.45,36
Derby County,16,4,10,1.4,36
Preston North End,11,12,7,1.38,34
Liverpool,12,9,9,1.21,33
The Wednesday,10,11,9,1.14,31
Everton,14,3,13,1.09,31
Bolton Wanderers,12,6,12,0.93,30
Bury,10,10,10,0.89,30
Wolverhampton Wanderers,11,6,13,1.1,28
Nottingham Forest,9,8,13,0.9,26
West Bromwich Albion,10,6,14,0.59,26
Stoke,11,3,16,0.81,25
Blackburn Rovers,11,3,16,0.56,25
Sunderland,7,9,14,0.72,23
Burnley,6,7,17,0.7,19
