First Division,W,D,L,G Ave,Pts
Leeds United,24,14,4,2.13,62
Liverpool,22,13,7,1.68,57
Derby County,17,14,11,1.24,48
Ipswich Town,18,11,13,1.16,47
Stoke City,15,16,11,1.29,46
Burnley,16,14,12,1.06,46
Everton,16,12,14,1.04,44
Queens Park Rangers,13,17,12,1.08,43
Leicester City,13,16,13,1.24,42
Arsenal,14,14,14,0.96,42
Tottenham Hotspur,14,14,14,0.9,42
Wolverhampton Wanderers,13,15,14,1.0,41
Sheffield United,14,12,16,0.9,40
Manchester City,14,12,16,0.85,40
Newcastle United,13,12,17,1.02,38
Coventry City,14,10,18,0.8,38
Chelsea,12,13,17,0.93,37
West Ham United,11,15,16,0.92,37
Birmingham City,12,13,17,0.81,37
Southampton,11,14,17,0.69,36
Manchester United,10,12,20,0.79,32
Norwich City,7,15,20,0.6,29
