Premier League,W,D,L,GD,Pts
Manchester United,28,7,3,52.0,91
Arsenal,22,7,9,30.0,73
Leeds United,21,6,11,15.0,69
Liverpool,19,10,9,21.0,67
Chelsea,18,11,9,19.0,65
Aston Villa,15,13,10,11.0,58
Sunderland,16,10,12,1.0,58
Leicester City,16,7,15,0.0,55
West Ham United,15,10,13,-1.0,55
Tottenham Hotspur,15,8,15,8.0,53
Newcastle United,14,10,14,9.0,52
Middlesbrough,14,10,14,-6.0,52
Everton,12,14,12,10.0,50
Coventry City,12,8,18,-7.0,44
Southampton,12,8,18,-17.0,44
Derby County,9,11,18,-13.0,38
Bradford City,9,9,20,-30.0,36
Wimbledon,7,12,19,-28.0,33
Sheffield Wednesday,8,7,23,-32.0,31
Watford,6,6,26,-42.0,24
