First Division,W,D,L,GD,Pts
Liverpool,24,10,8,50.0,82
Watford,22,5,15,17.0,71
Manchester United,19,13,10,18.0,70
Tottenham Hotspur,20,9,13,15.0,69
Nottingham Forest,20,9,13,12.0,69
Aston Villa,21,5,16,12.0,68
Everton,18,10,14,18.0,64
West Ham United,20,4,18,6.0,64
Ipswich Town,15,13,14,14.0,58
Arsenal,16,10,16,2.0,58
West Bromwich Albion,15,12,15,2.0,57
Southampton,15,12,15,-4.0,57
Stoke City,16,9,17,-11.0,57
Norwich City,14,12,16,-6.0,54
Notts County,15,7,20,-16.0,52
Sunderland,12,14,16,-13.0,50
Birmingham City,12,14,16,-15.0,50
Luton Town,12,13,17,-19.0,49
Coventry City,13,9,20,-11.0,48
Manchester City,13,8,21,-23.0,47
Swansea City,10,11,21,-18.0,41
Brighton & Hove Albion,9,13,20,-30.0,40
