First Division,W,D,L,G Ave,Pts
Liverpool,26,5,11,2.04,57
Manchester United,23,7,12,1.45,53
Everton,21,10,11,1.31,52
Tottenham Hotspur,22,7,13,1.2,51
Chelsea,20,10,12,1.29,50
Sheffield Wednesday,19,11,12,1.25,49
Blackburn Rovers,18,10,14,1.37,46
Arsenal,17,11,14,1.1,45
Burnley,17,10,15,1.11,44
West Bromwich Albion,16,11,15,1.15,43
Leicester City,16,11,15,1.05,43
Sheffield United,16,11,15,0.95,43
Nottingham Forest,16,9,17,0.94,41
West Ham United,14,12,16,0.93,40
Fulham,13,13,16,0.89,39
Wolverhampton Wanderers,12,15,15,0.88,39
Stoke City,14,10,18,0.99,38
Blackpool,13,9,20,0.71,35
Aston Villa,11,12,19,0.87,34
Birmingham City,11,7,24,0.59,29
Bolton Wanderers,10,8,24,0.6,28
Ipswich Town,9,7,26,0.46,25
