First Division,W,D,L,G Ave,Pts
Huddersfield Town,23,11,8,1.82,57
Cardiff City,22,13,7,1.79,57
Sunderland,22,9,11,1.31,53
Bolton Wanderers,18,14,10,2.0,50
Sheffield United,19,12,11,1.41,50
Aston Villa,18,13,11,1.41,49
Everton,18,13,11,1.17,49
Blackburn Rovers,17,11,14,1.08,45
Newcastle United,17,10,15,1.11,44
Notts County,14,14,14,0.9,42
Manchester City,15,12,15,0.76,42
Liverpool,15,11,16,1.02,41
West Ham United,13,15,14,0.93,41
Birmingham,13,13,16,0.84,39
Tottenham Hotspur,12,14,16,0.89,38
West Bromwich Albion,12,14,16,0.82,38
Burnley,12,12,18,0.92,36
Preston North End,12,10,20,0.78,34
Arsenal,12,9,21,0.63,33
Nottingham Forest,10,12,20,0.66,32
Chelsea,9,14,19,0.58,32
Middlesbrough,7,8,27,0.62,22
