First Division,W,D,L,GD,Pts
Everton,28,6,8,45.0,90
Liverpool,22,11,9,33.0,77
Tottenham Hotspur,23,8,11,27.0,77
Manchester United,22,10,10,30.0,76
Southampton,19,11,12,9.0,68
Chelsea,18,12,12,15.0,66
Arsenal,19,9,14,12.0,66
Sheffield Wednesday,17,14,11,13.0,65
Nottingham Forest,19,7,16,8.0,64
Aston Villa,15,11,16,0.0,56
Watford,14,13,15,10.0,55
West Bromwich Albion,16,7,19,-4.0,55
Luton Town,15,9,18,-4.0,54
Newcastle United,13,13,16,-15.0,52
Leicester City,15,6,21,-8.0,51
West Ham United,13,12,17,-17.0,51
Ipswich Town,13,11,18,-11.0,50
Coventry City,15,5,22,-17.0,50
Queens Park Rangers,13,11,18,-19.0,50
Norwich City,13,10,19,-18.0,49
Sunderland,10,10,22,-22.0,40
Stoke City,3,8,31,-67.0,17
