First Division,W,D,L,G Ave,Pts
Sheffield United,17,8,5,1.81,42
Sunderland,16,5,9,1.43,37
Wolverhampton Wanderers,14,7,9,1.39,35
Everton,13,9,8,1.23,35
The Wednesday,15,3,12,1.21,33
Aston Villa,14,5,11,1.2,33
West Bromwich Albion,11,10,9,0.98,32
Nottingham Forest,11,9,10,0.96,31
Liverpool,11,6,13,1.07,28
Derby County,11,6,13,0.93,28
Bolton Wanderers,11,4,15,0.68,26
Preston North End,8,8,14,0.81,24
Notts County,8,8,14,0.78,24
Bury,8,8,14,0.76,24
Blackburn Rovers,7,10,13,0.72,24
Stoke,8,8,14,0.64,24
