Premier League,W,D,L,GD,Pts
Manchester United,28,6,4,44.0,90
Liverpool,25,11,2,50.0,86
Chelsea,25,8,5,44.0,83
Arsenal,20,12,6,31.0,72
Everton,17,12,9,18.0,63
Aston Villa,17,11,10,6.0,62
Fulham,14,11,13,5.0,53
Tottenham Hotspur,14,9,15,0.0,51
West Ham United,14,9,15,-3.0,51
Manchester City,15,5,18,8.0,50
Wigan Athletic,12,9,17,-11.0,45
Stoke City,12,9,17,-17.0,45
Bolton Wanderers,11,8,19,-12.0,41
Portsmouth,10,11,17,-19.0,41
Blackburn Rovers,10,11,17,-20.0,41
Sunderland,9,9,20,-20.0,36
Hull City,8,11,19,-25.0,35
Newcastle United,7,13,18,-19.0,34
Middlesbrough,7,11,20,-29.0,32
West Bromwich Albion,8,8,22,-31.0,32
