First Division,W,D,L,GD,Pts
Everton,26,8,8,45.0,86
Liverpool,23,8,11,30.0,77
Tottenham Hotspur,21,8,13,25.0,71
Arsenal,20,10,12,23.0,70
Norwich City,17,17,8,2.0,68
Wimbledon,19,9,14,7.0,66
Luton Town,18,12,12,2.0,66
Nottingham Forest,18,11,13,13.0,65
Watford,18,9,15,13.0,63
Coventry City,17,12,13,5.0,63
Manchester United,14,14,14,7.0,56
Southampton,14,10,18,1.0,52
Sheffield Wednesday,13,13,16,-1.0,52
Chelsea,13,13,16,-11.0,52
West Ham United,14,10,18,-15.0,52
Queens Park Rangers,13,11,18,-16.0,50
Newcastle United,12,11,19,-18.0,47
Oxford United,11,13,18,-25.0,46
Charlton Athletic,11,11,20,-10.0,44
Leicester City,11,9,22,-22.0,42
Manchester City,8,15,19,-21.0,39
Aston Villa,8,12,22,-34.0,36
